Jurisdiction,Value,Race/ ethnicity,Year,Measure
Washington,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Wicomico,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Worcester,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore City,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
State,45.1,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Anne Arundel,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore County,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Charles,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Dorchester,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Frederick,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Garrett,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Harford,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Howard,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Kent,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Montgomery,40.9,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Prince George's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Queen Anne's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Saint Mary's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Somerset,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Talbot,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Washington,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Wicomico,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Worcester,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore City,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Annual Flu Vaccinations
State,33.7,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Allegany,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Anne Arundel,34.5,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore County,34.9,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Calvert,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Caroline,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Carroll,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Cecil,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Charles,27.4,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Dorchester,27.3,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Frederick,26.2,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Garrett,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Harford,30.4,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Howard,45.9,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Kent,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Montgomery,38.7,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Prince George's,32.3,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Queen Anne's,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Saint Mary's,31.8,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Somerset,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Talbot,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Washington,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Wicomico,23.5,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Worcester,,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore City,34.8,Black or African American Non-Hispanic/Latino,2018,Annual Flu Vaccinations
State,30.8,Hispanic,2018,Annual Flu Vaccinations
Allegany,,Hispanic,2018,Annual Flu Vaccinations
Anne Arundel,,Hispanic,2018,Annual Flu Vaccinations
Baltimore County,27.9,Hispanic,2018,Annual Flu Vaccinations
Calvert,,Hispanic,2018,Annual Flu Vaccinations
Caroline,,Hispanic,2018,Annual Flu Vaccinations
Carroll,,Hispanic,2018,Annual Flu Vaccinations
Cecil,,Hispanic,2018,Annual Flu Vaccinations
Charles,,Hispanic,2018,Annual Flu Vaccinations
Dorchester,,Hispanic,2018,Annual Flu Vaccinations
Frederick,,Hispanic,2018,Annual Flu Vaccinations
Garrett,,Hispanic,2018,Annual Flu Vaccinations
Harford,,Hispanic,2018,Annual Flu Vaccinations
Howard,,Hispanic,2018,Annual Flu Vaccinations
Kent,,Hispanic,2018,Annual Flu Vaccinations
Montgomery,28.9,Hispanic,2018,Annual Flu Vaccinations
Prince George's,30.7,Hispanic,2018,Annual Flu Vaccinations
Queen Anne's,,Hispanic,2018,Annual Flu Vaccinations
Saint Mary's,,Hispanic,2018,Annual Flu Vaccinations
Somerset,,Hispanic,2018,Annual Flu Vaccinations
Talbot,,Hispanic,2018,Annual Flu Vaccinations
Washington,,Hispanic,2018,Annual Flu Vaccinations
Wicomico,,Hispanic,2018,Annual Flu Vaccinations
Worcester,,Hispanic,2018,Annual Flu Vaccinations
Baltimore City,,Hispanic,2018,Annual Flu Vaccinations
State,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Allegany,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Anne Arundel,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore County,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Calvert,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Caroline,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Carroll,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Cecil,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Charles,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Dorchester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Frederick,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Garrett,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Harford,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Howard,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Kent,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Montgomery,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Prince George's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Queen Anne's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Saint Mary's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Somerset,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Talbot,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Washington,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Wicomico,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Worcester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore City,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Annual Flu Vaccinations
State,43.8,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Allegany,28.9,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Anne Arundel,47.3,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore County,46.9,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Calvert,39.9,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Caroline,35.5,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Carroll,32.3,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Cecil,38.1,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Charles,30.6,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Dorchester,36.5,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Frederick,38.6,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Garrett,27.9,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Harford,36.2,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Howard,57.5,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Kent,45.6,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Montgomery,56.1,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Prince George's,42.7,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Queen Anne's,39.7,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Saint Mary's,34.7,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Somerset,39.9,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Talbot,44.3,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Washington,30.2,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Wicomico,37.2,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Worcester,36.0,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore City,44.8,White Non-Hispanic/Latino,2018,Annual Flu Vaccinations
State,49.6,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Allegany,46.3,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Anne Arundel,52.4,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Baltimore County,53.6,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Dorchester,,Hispanic,2019,Annual Flu Vaccinations
Calvert,48.1,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Caroline,41.1,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Carroll,52.0,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Cecil,46.8,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Charles,45.6,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Dorchester,44.9,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Frederick,53.4,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Garrett,45.7,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Harford,48.8,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Howard,59.6,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Kent,49.9,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Montgomery,55.0,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Prince George's,41.3,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Queen Anne's,45.2,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Saint Mary's,41.8,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Somerset,47.2,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Talbot,47.1,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Washington,40.3,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Wicomico,43.2,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Worcester,54.6,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
Baltimore City,45.5,All races/ ethnicities (aggregated),2019,Annual Flu Vaccinations
State,46.2,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Allegany,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Anne Arundel,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore County,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Calvert,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Caroline,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Carroll,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Cecil,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Charles,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Dorchester,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Frederick,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Garrett,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Harford,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Howard,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Kent,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Montgomery,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Prince George's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Queen Anne's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Saint Mary's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Somerset,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Talbot,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Washington,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Wicomico,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Worcester,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore City,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Annual Flu Vaccinations
State,57.4,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Anne Arundel,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore County,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Frederick,,Hispanic,2019,Annual Flu Vaccinations
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Charles,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Dorchester,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Frederick,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Garrett,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Harford,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Howard,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Kent,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Montgomery,53.4,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Prince George's,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Queen Anne's,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Saint Mary's,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Somerset,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Talbot,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Washington,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Wicomico,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Worcester,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore City,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Annual Flu Vaccinations
State,42.3,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Allegany,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Anne Arundel,47.3,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore County,47.2,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Calvert,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Caroline,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Carroll,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Cecil,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Charles,41.5,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Dorchester,40.4,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Frederick,49.9,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Garrett,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Harford,39.2,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Howard,50.2,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Kent,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Montgomery,43.8,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Prince George's,40.9,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Queen Anne's,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Saint Mary's,32.9,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Somerset,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Talbot,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Washington,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Wicomico,28.5,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Worcester,,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore City,41.1,Black or African American Non-Hispanic/Latino,2019,Annual Flu Vaccinations
State,34.6,Hispanic,2019,Annual Flu Vaccinations
Allegany,,Hispanic,2019,Annual Flu Vaccinations
Anne Arundel,,Hispanic,2019,Annual Flu Vaccinations
Baltimore County,23.6,Hispanic,2019,Annual Flu Vaccinations
Calvert,,Hispanic,2019,Annual Flu Vaccinations
Caroline,,Hispanic,2019,Annual Flu Vaccinations
Carroll,,Hispanic,2019,Annual Flu Vaccinations
Cecil,,Hispanic,2019,Annual Flu Vaccinations
Charles,,Hispanic,2019,Annual Flu Vaccinations
Garrett,,Hispanic,2019,Annual Flu Vaccinations
Harford,,Hispanic,2019,Annual Flu Vaccinations
Howard,,Hispanic,2019,Annual Flu Vaccinations
Kent,,Hispanic,2019,Annual Flu Vaccinations
Montgomery,39.4,Hispanic,2019,Annual Flu Vaccinations
Prince George's,24.1,Hispanic,2019,Annual Flu Vaccinations
Queen Anne's,,Hispanic,2019,Annual Flu Vaccinations
Saint Mary's,,Hispanic,2019,Annual Flu Vaccinations
Somerset,,Hispanic,2019,Annual Flu Vaccinations
Talbot,,Hispanic,2019,Annual Flu Vaccinations
Washington,,Hispanic,2019,Annual Flu Vaccinations
Wicomico,,Hispanic,2019,Annual Flu Vaccinations
Worcester,,Hispanic,2019,Annual Flu Vaccinations
Baltimore City,,Hispanic,2019,Annual Flu Vaccinations
State,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Allegany,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Anne Arundel,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore County,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Calvert,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Caroline,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Carroll,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Cecil,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Charles,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Dorchester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Frederick,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Garrett,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Harford,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Howard,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Kent,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Montgomery,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Prince George's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Queen Anne's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Saint Mary's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Somerset,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Talbot,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Washington,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Wicomico,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Worcester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore City,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Annual Flu Vaccinations
State,55.1,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Allegany,46.4,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Anne Arundel,54.6,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore County,59.0,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Calvert,54.4,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Caroline,42.9,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Carroll,51.8,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Cecil,46.9,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Charles,49.3,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Dorchester,48.2,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Frederick,53.6,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Garrett,44.2,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Harford,50.3,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Howard,62.1,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Kent,54.7,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Montgomery,65.8,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Prince George's,56.2,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Queen Anne's,46.4,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Saint Mary's,42.6,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Somerset,49.8,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Talbot,46.4,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Washington,42.2,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Wicomico,46.0,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Worcester,60.1,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
Baltimore City,55.6,White Non-Hispanic/Latino,2019,Annual Flu Vaccinations
State,50.2,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Allegany,47.2,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Anne Arundel,50.5,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Baltimore County,53.1,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Calvert,51.4,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Caroline,44.3,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Carroll,54.5,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Cecil,50.0,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Charles,40.3,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Dorchester,46.8,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Frederick,50.5,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Garrett,43.1,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Harford,55.5,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Howard,56.7,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Kent,47.3,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Montgomery,57.5,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Prince George's,38.5,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Queen Anne's,58.2,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Saint Mary's,41.8,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Somerset,49.4,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Talbot,60.0,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Washington,43.6,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Wicomico,44.8,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Worcester,44.4,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
Baltimore City,50.9,All races/ ethnicities (aggregated),2020,Annual Flu Vaccinations
State,52.8,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Allegany,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Anne Arundel,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore County,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Calvert,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
